Video_Title,Total_Views,Channel_Name,Video_Link,Channel_Link,Publish_Date,Description
Data Analyst vs Data Scientist | What are the differences?,608 views,McKay Johns,https://www.youtube.com/watch?v=EIOt88gZWtg,https://www.youtube.com/c/McKayJohns,1 year ago,"In this video, we'll cover four key differences between a data analyst and a data scientist. 1. Responsibilities 2. Education 3."
How to Clean Raw Data in SQL | Google Data Analytics Certificate,47K views,Google Career Certificates,https://www.youtube.com/watch?v=r7GDQt3lZxs,https://www.youtube.com/c/GoogleCareerCertificates,1 year ago,"Learn about the different data cleaning functions in spreadsheets and SQL, and how SQL can be used to clean large datasets."
How I use Machine Learning as a Data Analyst,61K views,Luke Barousse,https://www.youtube.com/watch?v=AopGnnPPczY,https://www.youtube.com/c/LukeBarousse,3 weeks ago,"As a member of the Amazon, Coursera, Hostinger, Parallels, Interview Query, and Data Camp Affiliate Programs, I earn a ..."
Different Data Science Roles Explained (by a Data Scientist),49K views,Ken Jee,https://www.youtube.com/watch?v=BZFfNwj7JhE,https://www.youtube.com/c/KenJee1,2 years ago,DataScience #KenJee #DataScienceRoles In this video I explain the different data science roles that exist under the broader data ...
Data Scientist Job Description explained by Brillio Data Scientist,80K views,Springboard India,https://www.youtube.com/watch?v=4mVcZWm3pd0,https://www.youtube.com/c/SpringboardInd,2 years ago,"In this video Indira Krishnamoorthi, Senior Data Scientist at Brillio and Mentor at Springboard talks about different Data Scientist ..."
Decision Tree Algorithm | Decision Tree in Python | Machine Learning Algorithms | Edureka,437K views,edureka!,https://www.youtube.com/watch?v=qDcl-FRnwSU,https://www.youtube.com/c/edurekaIN,4 years ago,1. What is Classification? 2. Types of Classification 3. Classification Use Case 4. What is Decision Tree? 5. Decision Tree ...
3 Essential Excel skills for the data analyst,547K views,Access Analytic,https://www.youtube.com/watch?v=I1XeDS-GLbg,https://www.youtube.com/c/AccessanalyticAus,1 year ago,"This is my opinion on the 3 key Excel skills a data analyst requires. Understanding the use of Power Query, Tables and Pivot ..."
Google Data Analytics Professional Certificate - Full course Part 1 of 7,395K views,Free Engineering Courses,https://www.youtube.com/watch?v=qZ6TJc5bSKU,https://www.youtube.com/channel/UCOz4UFPXUiSlMvsekJP02jg,1 year ago,"------------------------ This is the course ""Foundations: Data, Data, Everywhere"", part 1 of 8 of the full professional certificate that you ..."
🔥Don't prepare Data science|| why??🔥|| lot of problems||Siddhartha live,3.1K views,Siddhartha live,https://www.youtube.com/watch?v=tlbamRdtI4U,https://www.youtube.com/c/Siddharthalive,1 month ago,"Data Science software developer SQL Hadoop java, my SQL, placement course, free certificate yt:cc=on, data science, Data ..."
A Day in The Life of a Data Scientist 👨🏻‍💻| upGrad,2.2M views,upGrad,https://www.youtube.com/watch?v=de7ZUb1fH3s,https://www.youtube.com/c/UpGradGlobal,2 years ago,"#DataScience #DataScientist #Tech #Bigdata #Data #upGradTech #upGradcourses If you like this video, please subscribe to ..."
DSC ML Talks : Session 1,594 views,GDSC VIT BHOPAL,https://www.youtube.com/watch?v=H_X3dBLK7S4,https://www.youtube.com/channel/UCVr5tPwyUH8rJd5yEhBd94w,Streamed 1 year ago,"DSC ML Talks is a month-long event focused on ML beginners and freshers, aimed at getting them acquainted with the basics of ..."
"Simulating COVID-19 using Python, NumPy & Matplotlib [in-depth tutorial]",49K views,Kite,https://www.youtube.com/watch?v=KAmZe5D3v5I,https://www.youtube.com/c/KiteHQ,2 years ago,"In this in-depth Python tutorial using NumPy and Matplotlib, Caelan walks you through how to simulate the spread of a virus, using ..."
Business Intelligence vs Data Science,2.7K views,Maven Analytics,https://www.youtube.com/watch?v=mBB1jWeqEWg,https://www.youtube.com/c/MavenAnalytics,2 months ago,Have you ever tried to figure out the difference between Data Science & Business Intelligence? Or wondered which one you ...
Tutorial: Computer Vision,6.2K views,MITCBMM,https://www.youtube.com/watch?v=QTvOW-sJjjM,https://www.youtube.com/c/MITCBMM,4 years ago,"Andrei Barbu, MIT BMM Summer Course 2018."
"Applications of computer vision | Deep Learning Tutorial 22 (Tensorflow2.0, Keras & Python)",49K views,codebasics,https://www.youtube.com/watch?v=aDpnaxPAmtU,https://www.youtube.com/c/codebasics,1 year ago,Advancements in deep learning (especially invention of convolutional neural network or CNN or ConvNet) has made possible ...
